,CPI,GDP_per_Capita,housing_subsidies,median_household_income,months_supply_of_new_houses,new_one_family_houses_sold,average_mortgage,interest_rates,price,total_households,total_population,unemployment_rate
2000-01-01,169.3,49335.0,19.69,70020.0,4.3,873,8.21,5.45,100.552,104705.0,281083,4.0
2000-02-01,170.0,49593.0,19.763583333333333,69924.16666666667,4.3,856,8.325,5.73,101.34,104997.0,281299,4.1
2000-03-01,171.0,49851.0,19.83716666666667,69828.33333333333,4.3,900,8.24,5.85,102.127,105289.0,281531,4.0
2000-04-01,170.9,50109.0,19.91075,69732.5,4.4,841,8.1525,6.02,102.923,105581.0,281763,3.8
2000-05-01,171.2,50080.666666666664,19.984333333333336,69636.66666666667,4.4,857,8.515,6.27,103.678,105873.0,281996,4.0
2000-06-01,172.2,50052.333333333336,20.057916666666667,69540.83333333333,4.8,793,8.288,6.53,104.425,106165.0,282247,4.0
2000-07-01,172.7,50024.0,20.131500000000003,69445.0,4.1,887,8.1475,6.54,105.054,106457.0,282504,4.0
2000-08-01,172.7,50079.333333333336,20.205083333333334,69349.16666666667,4.4,848,8.0275,6.5,105.768,106749.0,282769,4.1
2000-09-01,173.6,50134.666666666664,20.278666666666666,69253.33333333333,4.0,912,7.912000000000001,6.52,106.538,107041.0,283033,3.9
2000-10-01,173.9,50190.0,20.35225,69157.5,4.0,933,7.795,6.51,107.383,107333.0,283285,3.9
2000-11-01,174.2,50097.0,20.425833333333333,69061.66666666667,4.2,880,7.745,6.51,108.302,107625.0,283523,3.9
2000-12-01,174.6,50004.0,20.49941666666667,68965.83333333333,3.6,983,7.382,6.4,109.139,107917.0,283748,3.9
2001-01-01,175.6,49911.0,20.573,68870.0,3.8,936,7.0325,5.98,109.848,108209.0,283960,4.2
2001-02-01,176.0,49975.666666666664,20.873833333333334,68823.33333333333,3.7,963,7.05,5.49,110.502,108299.66666666667,284166,4.2
2001-03-01,176.1,50040.333333333336,21.174666666666667,68776.66666666667,3.8,939,6.952,5.31,111.109,108390.33333333333,284380,4.3
2001-04-01,176.4,50105.0,21.4755,68730.0,3.9,909,7.0775,4.8,111.652,108481.0,284602,4.4
2001-05-01,177.3,49994.666666666664,21.776333333333334,68683.33333333333,4.0,885,7.145,4.21,112.164,108571.66666666667,284834,4.3
2001-06-01,177.7,49884.333333333336,22.077166666666667,68636.66666666667,4.2,882,7.159999999999999,3.97,112.797,108662.33333333333,285076,4.5
2001-07-01,177.4,49774.0,22.378,68590.0,4.2,880,7.1275,3.77,113.491,108753.0,285324,4.6
2001-08-01,177.4,49777.0,22.678833333333333,68543.33333333333,4.4,866,6.95,3.65,114.169,108843.66666666667,285584,4.9
2001-09-01,178.1,49780.0,22.979666666666667,68496.66666666667,4.4,853,6.8175,3.07,114.812,108934.33333333333,285842,5.0
2001-10-01,177.6,49783.0,23.2805,68450.0,4.3,871,6.6175,2.49,115.309,109025.0,286086,5.3
2001-11-01,177.5,49885.666666666664,23.581333333333333,68403.33333333333,4.1,924,6.6579999999999995,2.09,115.856,109115.66666666667,286315,5.5
2001-12-01,177.4,49988.333333333336,23.882166666666667,68356.66666666667,3.8,979,7.0649999999999995,1.82,116.453,109206.33333333333,286533,5.7
2002-01-01,177.7,50091.0,24.183,68310.0,4.2,880,6.9975,1.73,117.144,109297.0,286739,5.7
2002-02-01,178.0,50156.0,24.328583333333334,68313.33333333333,4.0,948,6.8925,1.74,117.845,109462.08333333333,286935,5.7
2002-03-01,178.5,50221.0,24.474166666666665,68316.66666666667,4.1,923,7.014,1.73,118.687,109627.16666666667,287131,5.7
2002-04-01,179.3,50286.0,24.61975,68320.0,4.3,936,6.985,1.75,119.611,109792.25,287343,5.9
2002-05-01,179.5,50311.333333333336,24.765333333333334,68323.33333333333,4.0,978,6.806,1.75,120.724,109957.33333333333,287571,5.8
2002-06-01,179.6,50336.666666666664,24.910916666666665,68326.66666666667,4.2,957,6.65,1.75,121.813,110122.41666666667,287808,5.8
2002-07-01,180.0,50362.0,25.0565,68330.0,4.2,956,6.485,1.73,122.889,110287.5,288051,5.8
2002-08-01,180.5,50342.0,25.202083333333334,68333.33333333333,4.0,1014,6.29,1.74,123.831,110452.58333333333,288303,5.7
2002-09-01,180.8,50322.0,25.347666666666665,68336.66666666667,3.9,1044,6.0925,1.75,124.781,110617.66666666667,288554,5.7
2002-10-01,181.2,50302.0,25.49325,68340.0,4.0,1006,6.1125,1.75,125.736,110782.75,288794,5.7
2002-11-01,181.5,50355.333333333336,25.638833333333334,68343.33333333333,4.0,1024,6.068,1.34,126.669,110947.83333333333,289012,5.9
2002-12-01,181.8,50408.666666666664,25.784416666666665,68346.66666666667,4.0,1048,6.0475,1.24,127.623,111112.91666666667,289214,6.0
2003-01-01,182.6,50462.0,25.93,68350.0,4.0,999,5.9159999999999995,1.24,128.461,111278.0,289412,5.8
2003-02-01,183.6,50573.333333333336,26.035916666666665,68341.66666666667,4.5,936,5.8425,1.26,129.356,111338.16666666667,289606,5.9
2003-03-01,183.9,50684.666666666664,26.141833333333334,68333.33333333333,4.1,999,5.745,1.25,130.148,111398.33333333333,289809,5.9
2003-04-01,183.2,50796.0,26.24775,68325.0,4.1,1012,5.8125,1.26,130.884,111458.5,290024,6.0
2003-05-01,182.9,51034.666666666664,26.353666666666665,68316.66666666667,3.9,1078,5.484,1.26,131.735,111518.66666666667,290250,6.1
2003-06-01,183.1,51273.333333333336,26.459583333333335,68308.33333333333,3.5,1193,5.23,1.22,132.649,111578.83333333333,290484,6.3
2003-07-01,183.7,51512.0,26.5655,68300.0,3.6,1168,5.6325,1.01,133.777,111639.0,290726,6.2
2003-08-01,184.5,51670.0,26.671416666666666,68291.66666666667,3.5,1206,6.264,1.03,134.968,111699.16666666667,290974,6.1
2003-09-01,185.1,51828.0,26.777333333333335,68283.33333333333,3.8,1131,6.1475,1.01,136.294,111759.33333333333,291222,6.1
2003-10-01,184.9,51986.0,26.88325,68275.0,3.8,1144,5.952,1.01,137.532,111819.5,291463,6.0
2003-11-01,185.0,52050.333333333336,26.989166666666666,68266.66666666667,4.1,1093,5.9325,1.0,138.794,111879.66666666667,291677,5.8
2003-12-01,185.5,52114.666666666664,27.095083333333335,68258.33333333333,4.0,1129,5.8759999999999994,0.98,140.18,111939.83333333333,291868,5.7
2004-01-01,186.3,52179.0,27.201,68250.0,3.8,1165,5.7125,1.0,141.646,112000.0,292046,5.7
2004-02-01,186.7,52275.666666666664,27.238500000000002,68338.33333333333,3.7,1159,5.635,1.01,143.191,112111.91666666667,292230,5.6
2004-03-01,187.1,52372.333333333336,27.276,68426.66666666667,3.6,1276,5.445,1.0,145.058,112223.83333333333,292434,5.8
2004-04-01,187.4,52469.0,27.3135,68515.0,4.0,1186,5.83,1.0,146.593,112335.75,292651,5.6
2004-05-01,188.2,52591.0,27.351,68603.33333333333,3.8,1241,6.27,1.0,148.186,112447.66666666667,292872,5.6
2004-06-01,188.9,52713.0,27.3885,68691.66666666667,3.9,1180,6.2875,1.03,149.852,112559.58333333333,293103,5.6
2004-07-01,189.1,52835.0,27.426000000000002,68780.0,4.5,1088,6.056,1.26,151.338,112671.5,293350,5.5
2004-08-01,189.2,52970.666666666664,27.4635,68868.33333333333,4.3,1175,5.8675,1.43,152.635,112783.41666666667,293603,5.4
2004-09-01,189.8,53106.333333333336,27.501,68956.66666666667,4.1,1214,5.754,1.61,154.179,112895.33333333333,293857,5.4
2004-10-01,190.8,53242.0,27.5385,69045.0,3.9,1305,5.7225,1.76,155.752,113007.25,294104,5.5
2004-11-01,191.7,53401.0,27.576,69133.33333333333,4.3,1179,5.73,1.93,157.528,113119.16666666667,294337,5.4
2004-12-01,191.7,53560.0,27.6135,69221.66666666667,4.1,1242,5.752,2.16,159.331,113231.08333333333,294561,5.4
2005-01-01,191.6,53719.0,27.651,69310.0,4.4,1203,5.71,2.28,161.289,113343.0,294768,5.3
